,gs2046,gs2081
436,21.0582617383,32.5911188811
437,23.1645854146,35.0174425574
438,23.0884815185,34.7313386613
439,21.5989310689,32.5817882118
440,22.7866133866,34.2894705295
441,22.4033966034,33.681968032
442,22.8886213786,34.31004995
443,21.7992407592,32.8706693307
444,21.7992407592,32.8706693307
445,21.6056843157,32.6456843157
446,21.5411888112,32.4883316683
447,22.7241358641,34.0512787213
448,21.9044555445,32.5515984016
449,21.6448151848,32.2433866134
450,22.0,32.7242857143
451,20.7960839161,31.5917982018
452,22.1879220779,33.8136363636
453,22.3214685315,34.0371828172
454,21.3875624376,32.868991009
455,21.7781818182,32.5581818182
456,21.3875624376,32.868991009
457,22.7041758242,34.3341758242
458,21.5290709291,32.2304995005
459,21.8038961039,32.5267532468
460,21.8667532468,32.6224675325
461,20.488981019,30.9461238761
462,22.0427672328,33.4556243756
463,21.3658941059,32.6358941059
464,22.06,32.7671428571
465,22.0565834166,33.2808691309
466,21.6671928072,32.4171928072
467,21.6749450549,33.2249450549
468,22.0076423576,32.9447852148
469,21.6835764236,32.6964335664
470,21.6835764236,32.6964335664
471,21.8004395604,33.2747252747
472,22.6225174825,33.6953746254
473,22.6826673327,33.6955244755
474,22.6167632368,33.6353346653
475,21.6243856144,33.2258141858
476,23.1242457542,34.4928171828
477,23.0595704296,34.1381418581
478,22.4487712288,33.6501998002
479,22.4154645355,34.2797502498
480,21.6835764236,32.6964335664
481,21.71995005,32.7556643357
482,21.6058141858,32.2386713287
483,22.3465134865,33.7450849151
484,22.3481718282,33.0753146853
485,22.5095704296,34.3095704296
486,22.9205494505,34.131978022
487,22.6432267732,33.8332267732
488,22.8219380619,34.0347952048
489,21.6215784216,32.5758641359
490,22.00002997,32.8843156843
491,22.6116883117,33.6116883117
492,21.8693006993,33.2993006993
493,21.5084715285,32.6513286713
494,22.0675224775,33.448951049
495,21.6818981019,32.7661838162
496,22.4799100899,34.0470529471
497,21.8508191808,32.8536763237
498,22.2023776224,33.5538061938
499,23.4586213786,34.8386213786
500,22.6443056943,34.0414485514
501,22.1626673327,33.3626673327
502,22.8861838162,33.8618981019
503,21.0335764236,32.2778621379
504,21.7535764236,32.7992907093
505,22.1683716284,34.0155144855
506,22.1885114885,33.2685114885
507,21.6415184815,33.2229470529
508,21.442987013,32.5244155844
509,22.0855244755,33.2340959041
510,22.441018981,33.161018981
511,22.2106393606,33.6549250749
512,21.5908091908,33.2193806194
513,20.8683616384,31.9997902098
514,22.1321878122,33.7521878122
515,21.2449250749,32.4577822178
516,22.3796203796,33.4667632368
517,22.924965035,34.3121078921
518,23.0975824176,34.2675824176
519,22.1131768232,33.3446053946
520,23.2665934066,33.8365934066
521,22.6466733267,33.9152447552
522,21.111028971,32.3553146853
523,23.2665934066,33.8365934066
524,20.7324575425,31.8396003996
525,21.1037262737,32.5465834166
526,21.7250649351,32.8550649351
527,22.3303196803,33.2346053946
528,23.2665934066,33.8365934066
529,21.5904895105,32.9562037962
530,22.0463236763,33.3334665335
531,22.5634865135,33.5106293706
532,20.985974026,32.2288311688
533,21.6801498501,32.9758641359
534,22.2542857143,33.41
535,22.6312787213,33.8927072927
536,21.7314385614,33.2714385614
537,22.6466733267,33.9152447552
538,21.3216583417,33.0388011988
539,21.5036863137,33.0351148851
540,22.8631768232,33.8788911089
541,20.3064635365,31.0307492507
542,21.615004995,33.1192907093
543,20.766953047,31.6212387612
544,21.4768831169,32.9411688312
545,22.3224575425,33.8196003996
546,21.615004995,33.1192907093
547,23.3184515485,34.4113086913
548,21.6228871129,32.9457442557
549,23.4214185814,34.0357042957
550,21.358951049,32.6475224775
551,21.2072027972,32.4272027972
552,21.615004995,33.1192907093
553,21.6978321678,33.3078321678
554,20.3627872128,31.2170729271
555,21.6978321678,33.3078321678
556,22.1693606394,33.4365034965
557,21.291968032,32.621968032
558,20.1319380619,30.7990809191
559,22.7163336663,33.9663336663
560,22.9823476523,33.5766333666
561,19.9629070929,30.6986213786
562,21.8581918082,33.2696203796
563,23.4098601399,33.8212887113
564,22.0638261738,33.1166833167
565,21.6228871129,32.9457442557
566,22.7183716284,33.9098001998
567,22.93996004,33.7685314685
568,20.8526173826,31.5597602398
569,22.0009390609,33.6437962038
570,23.1222977023,34.3322977023
571,23.066003996,34.3888611389
572,21.9461838162,33.6247552448
573,21.9156543457,33.2585114885
574,21.6891708292,32.8948851149
575,21.827002997,33.0527172827
576,22.3758041958,33.3272327672
577,22.1473126873,33.693026973
578,22.0458241758,33.1858241758
579,21.9076023976,33.0333166833
580,21.9854545455,33.5483116883
581,22.4833066933,33.2061638362
582,23.1984615385,33.7927472527
583,22.9343356643,34.12004995
584,22.0098701299,33.4455844156
585,22.9784315684,33.817002997
586,22.5023076923,33.2708791209
587,23.22001998,33.8985914086
588,22.0098701299,33.4455844156
589,22.0098701299,33.4455844156
590,22.8616283716,33.6201998002
591,22.0098701299,33.4455844156
592,22.8938861139,34.0296003996
593,22.8202697303,33.3988411588
594,22.9096303696,33.3853446553
595,21.8847552448,32.1833266733
596,22.5385514486,33.1756943057
597,21.6693306693,32.1536163836
598,21.9592907093,32.6335764236
599,22.372987013,33.0258441558
600,22.8368031968,33.9925174825
601,22.081028971,32.7367432567
602,23.1193106893,33.405024975
603,22.3876423576,32.9490709291
604,21.8904195804,32.8218481518
605,22.3993706294,32.7093706294
606,22.0406893107,32.4721178821
607,22.054975025,32.4864035964
608,21.8898601399,32.7027172827
609,22.4720979021,33.0792407592
610,22.5827872128,33.2442157842
611,21.3520879121,32.6749450549
612,22.3007092907,32.8664235764
613,22.1322277722,32.9765134865
614,22.5181318681,33.0881318681
615,22.4493206793,33.2478921079
616,22.4308591409,32.9708591409
617,22.405984016,32.9245554446
618,22.9424175824,33.5338461538
619,22.4308591409,32.9708591409
620,22.4308591409,32.9708591409
621,22.4308591409,32.9708591409
622,22.4165434565,32.9794005994
623,22.4308591409,32.9708591409
624,22.4308591409,32.9708591409
625,22.3456943057,33.1156943057
626,22.8552447552,33.4623876124
627,21.1694105894,32.6908391608
628,22.2529370629,33.1329370629
629,22.3654145854,33.1482717283
630,23.0957442557,34.3243156843
631,21.403026973,32.6173126873
632,21.9444655345,33.2116083916
633,21.334965035,32.3963936064
634,21.1931068931,32.3173926074
635,21.5644055944,32.6872627373
636,21.0374325674,32.3002897103
637,21.7737862138,33.2552147852
638,21.4642157842,33.2813586414
639,21.1787012987,31.902987013
640,21.8009490509,32.3538061938
641,24.8234765235,38.4549050949
642,24.0532767233,38.1318481518
643,22.0346553447,33.5117982018
644,22.4408791209,33.4094505495
645,20.8170829171,31.6756543457
646,20.823986014,31.5754145854
647,20.4753346653,31.2296203796
648,22.9103596404,33.9360739261
649,22.7708191808,34.2593906094
650,22.8951548452,33.238011988
651,22.4729270729,33.0314985015
652,23.5911588412,38.1911588412
653,20.8944855145,31.7759140859
654,22.4521578422,32.8978721279
655,22.2510889111,33.0753746254
656,22.7239260739,33.5282117882
657,21.0034665335,31.6191808192
658,21.5727672328,32.8270529471
659,21.937012987,32.5984415584
660,21.0407192807,32.2778621379
661,21.6395904096,33.1195904096
662,23.0965534466,33.9651248751
663,21.1382517483,31.8568231768
664,24.3561838162,39.179040959
665,24.3561838162,39.179040959
666,24.007992008,38.5037062937
667,24.2837062937,39.3137062937
668,23.788041958,38.6194705295
669,23.9289410589,38.8875124875
670,24.1103096903,39.0488811189
671,23.9434465534,39.0377322677
672,23.9351248751,39.0294105894
673,23.9843756244,38.8558041958
674,23.7047552448,38.1004695305
675,23.5132367632,37.928951049
676,23.8378021978,38.3020879121
677,23.3932167832,37.7760739261
678,23.6576123876,38.0776123876
679,23.5132367632,37.928951049
680,22.86,37.6071428571
681,23.0194905095,37.5723476523
682,23.521958042,37.931958042
683,23.5132367632,37.928951049
684,23.5132367632,37.928951049
685,22.6013986014,37.1142557443
686,23.6676323676,38.6719180819
687,23.3834665335,38.392037962
688,24.0355544456,39.126983017
689,24.0221978022,38.9250549451
690,23.7328871129,38.6457442557
691,23.7328871129,38.6457442557
692,24.0146153846,38.8274725275
693,23.7328871129,38.6457442557
694,22.8420579421,38.0020579421
695,22.725964036,37.6673926074
696,23.1403596404,38.3960739261
697,22.8152547453,37.9181118881
698,23.1796803197,37.9425374625
699,23.233966034,37.9568231768
700,23.2631968032,38.1560539461
701,23.2782517483,38.0082517483
702,23.8905094905,38.6847952048
703,23.7148251748,38.5848251748
704,24.0513386613,39.1213386613
705,24.0513386613,39.1213386613
706,23.9903596404,39.2417882118
707,24.0317882118,39.1817882118
708,23.8225774226,38.8825774226
709,23.9558341658,39.2158341658
710,23.6504595405,38.7676023976
711,23.6504595405,38.7676023976
712,23.6504595405,38.7676023976
713,23.6504595405,38.7676023976
714,23.6504595405,38.7676023976
715,23.6504595405,38.7676023976
716,23.6504595405,38.7676023976
717,23.6509090909,38.7651948052
718,23.8354945055,38.8426373626
719,23.74003996,38.4928971029
720,23.6504595405,38.7676023976
721,23.1384715285,38.227042957
722,22.9805694306,38.1291408591
723,22.9648551449,38.1291408591
724,23.1442757243,38.4485614386
725,23.1442757243,38.4485614386
726,24.4387312687,38.7944455544
727,24.4555944056,38.7184515485
728,24.72000999,39.0242957043
729,24.1721978022,38.5579120879
730,24.1018881119,38.4947452547
731,24.6176323676,39.0719180819
732,24.1258041958,38.5229470529
733,24.0718881119,38.4918881119
734,23.9731668332,38.3903096903
735,24.1433466533,38.4719180819
736,24.4604895105,38.5604895105
737,23.6778221778,36.7106793207
738,24.385044955,37.4207592408
739,24.2029270729,37.1857842158
740,23.7121178821,36.5306893107
741,23.7431068931,36.7688211788
742,23.9941658342,37.067022977
743,23.4882617383,35.9454045954
744,23.4882617383,35.9454045954
745,23.4882617383,35.9454045954
746,23.4882617383,35.9454045954
747,24.1818881119,36.9304595405
748,24.1494705295,36.798041958
749,23.8949250749,36.2706393606
750,23.304035964,35.8754645355
751,23.9814885115,36.1343456543
752,23.3430569431,35.9230569431
753,23.4882617383,35.9454045954
754,23.4882617383,35.9454045954
755,22.7258341658,34.5786913087
756,23.1355444555,34.9084015984
757,22.3911088911,34.073966034
758,22.3896803197,34.0368231768
759,22.3896803197,34.0368231768
760,22.3896803197,34.0368231768
761,22.8056743257,34.6656743257
762,22.8394605395,34.5937462537
763,22.9095304695,34.9181018981
764,22.9095304695,34.9181018981
765,22.940959041,34.9266733267
766,23.0387612388,34.8559040959
767,22.9480719281,34.5152147852
768,23.118041958,34.6351848152
769,22.6774225774,34.6017082917
770,22.7297302697,34.7468731269
771,23.204005994,34.8568631369
772,23.4178921079,34.6121778222
773,23.1110989011,35.0468131868
774,23.8970929071,34.8856643357
775,22.6846853147,33.9232567433
776,22.3325174825,33.6653746254
777,23.1067432567,34.4238861139
778,23.3599000999,34.6356143856
779,23.1067432567,34.4238861139
780,23.4577322677,34.7705894106
781,23.1067432567,34.4238861139
782,23.1067432567,34.4238861139
783,23.562987013,34.7244155844
784,22.901958042,34.2976723277
785,23.1366433566,34.3223576424
786,22.4653646354,33.9825074925
787,22.4312887113,33.8527172827
788,23.3526773227,34.4941058941
789,23.2680819181,34.4623676324
790,23.7093706294,34.7379420579
791,23.7954645355,34.7926073926
792,23.4174125874,34.745984016
793,23.6631468531,35.0374325674
794,23.0957442557,34.3243156843
795,23.0957442557,34.3243156843
796,23.1212387612,34.3498101898
797,23.0337862138,34.2566433566
798,23.1488711289,34.396013986
799,23.0488611389,34.2645754246
800,23.1102897103,34.266003996
801,22.9153046953,34.2253046953
802,23.3967732268,34.6824875125
803,23.0957442557,34.3243156843
804,23.0957442557,34.3243156843
805,23.2662437562,34.3262437562
806,23.0215884116,34.153016983
807,21.8882317682,32.9439460539
808,21.8107292707,32.8264435564
809,21.7243556444,32.7057842158
810,21.5145754246,32.4017182817
811,23.3851948052,34.6694805195
812,21.284955045,32.3578121878
813,20.8922577423,32.037972028
814,21.5647152847,32.8361438561
815,20.9914485514,32.13001998
816,21.3582617383,32.7296903097
817,21.7108291708,33.0836863137
818,21.688021978,33.0723076923
819,21.6578721279,33.0235864136
820,21.688021978,33.0723076923
821,21.6434865135,32.8863436563
822,21.6616283716,33.0973426573
823,20.2290709291,31.0547852148
824,20.1733066933,30.899020979
825,21.83004995,33.2129070929
826,21.6770729271,33.1570729271
827,21.7045054945,33.0302197802
828,22.3695204795,33.5580919081
829,21.7230769231,33.0302197802
830,22.0972427572,33.2615284715
831,21.8808791209,33.1565934066
832,22.0832867133,33.3518581419
833,21.5591008991,33.1433866134
834,21.646043956,33.2017582418
835,21.7078921079,33.385034965
836,21.6257242757,33.2557242757
837,21.5117982018,33.0789410589
838,21.5117982018,33.0789410589
839,21.5117982018,33.0789410589
840,21.5117982018,33.0789410589
841,21.7910589411,33.4710589411
842,21.676953047,33.4040959041
843,21.5926673327,33.3512387612
844,21.1745554446,32.9702697303
845,21.7134465534,33.5791608392
846,21.6024375624,33.3295804196
847,22.6878021978,34.1106593407
848,22.4013286713,33.6613286713
849,21.5047152847,32.989000999
850,21.7687512488,32.6901798202
851,22.8138961039,33.6138961039
852,22.8138961039,33.6138961039
853,22.3821778222,33.2336063936
854,22.3821778222,33.2336063936
855,22.3821778222,33.2336063936
856,22.3821778222,33.2336063936
857,21.7792907093,32.2778621379
858,21.7792907093,32.2778621379
859,22.1302897103,32.686003996
860,21.6895404595,32.3481118881
861,22.2723076923,32.9737362637
862,22.3821778222,33.235034965
863,21.5826973027,32.0541258741
864,21.9829470529,32.4472327672
865,23.0082317682,33.9225174825
